2024 Rank,Stat Entity Key,Entity *,2024 Company Level Data Data is updated for completed mergers Assets ($000),2024 Company Level Data Data is updated for completed mergers Capital & Surplus ($000),2024 Company Level Data Data is updated for completed mergers National Direct Premiums Written ($000),Market Share (%) 2024,Market Share (%) 2023,Market Share (%) 2022,Direct Premiums Written ($000) 2024,Direct Premiums Written ($000) 2023,Direct Premiums Written ($000) 2022,Adjusted Loss Ratio (%) 2024,Adjusted Loss Ratio (%) 2023,Adjusted Loss Ratio (%) 2022
51,GP4254889,Sompo (SNL P&C Group),22784953.0,4382350.0,7126813.0,0.29,0.35,0.25,3117.0,3839.0,2548.0,42.2,21.14,25.68
52,GP27387277,StarStone (SNL P&C Group),4869842.0,1194572.0,2439025.0,0.23,0.33,0.21,2432.0,3604.0,2138.0,34.46,69.84,55.62
53,GP4142896,Employers (SNL P&C Group),3058805.0,1020300.0,767845.0,0.23,0.18,0.17,2432.0,1902.0,1763.0,68.87,50.32,40.71
54,GP4050636,Everest Re (SNL P&C Group),32896998.0,8125720.0,3412946.0,0.22,0.27,0.27,2330.0,2917.0,2800.0,34.84,94.24,191.96
55,GP13433,Westfield Insurance (SNL P&C Group),7528442.0,2962583.0,3212182.0,0.22,0.26,0.27,2309.0,2786.0,2831.0,35.5,82.59,53.1
56,C310,Brotherhood Mutual Ins Co.,1219476.0,382567.0,899007.0,0.2,0.2,0.21,2178.0,2171.0,2206.0,40.58,13.87,43.83
57,GP19740627,Church Mutual (SNL P&C Group),2542969.0,716848.0,1191651.0,0.2,0.21,0.2,2090.0,2241.0,2032.0,46.35,88.22,40.64
58,GP103383,Progressive (SNL P&C Group),103879087.0,27042531.0,75884809.0,0.19,0.28,0.38,1967.0,3033.0,3934.0,60.61,1.4,53.52
59,GP4021790,Fairfax Financial (SNL P&C Group),44514362.0,12420678.0,11596650.0,0.14,0.18,0.21,1500.0,1942.0,2182.0,46.94,0.98,-19.85
60,GP13584085,Grange Insurance (SNL P&C Group),3379930.0,1441360.0,1585886.0,0.14,0.13,0.13,1475.0,1404.0,1355.0,89.05,2.92,64.35
61,GP4153483,Ascot (SNL P&C Group),2453388.0,774825.0,1276299.0,0.13,0.01,0.0,1423.0,92.0,0.0,51.29,60.61,NM
62,GP4261086,Gray Family (SNL P&C Group),672051.0,191803.0,334143.0,0.13,0.12,0.09,1419.0,1268.0,936.0,54.98,22.35,37.85
63,GP4310994,Farmers Insurance (SNL P&C Group),45722476.0,8174497.0,28288709.0,0.12,0.14,0.15,1285.0,1543.0,1570.0,29.32,38.14,35.59
64,C1503,Pioneer State Mutual Ins Co.,841988.0,530653.0,255177.0,0.11,0.23,0.25,1218.0,2538.0,2640.0,121.86,104.91,117.86
65,C371,SUNZ Insurance Co.,809621.0,188254.0,127222.0,0.11,0.07,0.02,1134.0,706.0,172.0,15.43,21.47,0
66,C2969,Diamond Insurance Co.,74887.0,26767.0,16209.0,0.09,0.06,0.01,930.0,663.0,93.0,82.8,-7.22,20.13
67,GP4211060,MS&AD Insurance (SNL P&C Group),4725618.0,2017833.0,2969537.0,0.08,0.16,0.18,904.0,1710.0,1901.0,12.05,24.22,2
68,GP4419619,DLICM LLC (SNL P&C Group),1594265.0,292859.0,394189.0,0.08,0.06,0.02,880.0,605.0,241.0,18.89,93.84,58.68
69,GP28563714,Brookfield Wealth Solutions Lt (SNL P&C Group),9247601.0,3261266.0,3702953.0,0.06,0.07,0.04,636.0,714.0,381.0,80.07,36.56,446.81
70,GP12206,Dakota (SNL P&C Group),347616.0,140871.0,161855.0,0.05,0.04,0.03,567.0,446.0,282.0,60.74,83.77,67.83
71,C678,Federated Rural Electric Ins,758034.0,288789.0,255854.0,0.05,0.06,0.06,562.0,610.0,577.0,-1.23,58.35,223.1
72,GP11928,Central Insurance Companies (SNL P&C Group),2454027.0,1075097.0,979613.0,0.05,0.03,0.02,523.0,323.0,224.0,47.57,15.96,-2.47
73,C1218,Work First Casualty Co.,117924.0,59822.0,26671.0,0.05,0.07,0.07,507.0,797.0,750.0,-3.47,56.11,39.25
74,GP13022,MEMIC (SNL P&C Group),1534581.0,368980.0,435583.0,0.04,0.02,0.02,443.0,243.0,207.0,1.05,53.34,NM
75,GP13960,SFM Mutual Insurance Co. (SNL P&C Group),1023195.0,367797.0,270151.0,0.04,0.03,0.03,418.0,324.0,359.0,15.22,121.39,36.63
76,GP4109061,Intact Financial Corp. (SNL P&C Group),4818710.0,1056482.0,2138701.0,0.04,0.04,0.04,389.0,461.0,429.0,-8.21,-31.31,28.45
77,GP111475239,Builders Insurance Group (SNL P&C Group),1187383.0,420788.0,260357.0,0.03,0.04,0.02,367.0,381.0,177.0,22.8,328.51,117.04
78,GP4316478,Sirius (SNL P&C Group),2963819.0,640124.0,985224.0,0.03,0.31,0.26,360.0,3356.0,2727.0,116.03,114.36,80.94
79,GP29718248,GuideOne Insurance (SNL P&C Group),2073094.0,590263.0,820718.0,0.03,0.04,0.06,348.0,425.0,635.0,-48.19,-2.51,22.12
80,GP13571,Pharmacists Mutual (SNL P&C Group),354177.0,95190.0,157570.0,0.03,0.03,0.04,326.0,334.0,410.0,28.27,22.54,41.15
81,GP4041394,AMERISAFE (SNL P&C Group),1073827.0,235091.0,285561.0,0.03,0.05,0.02,326.0,509.0,248.0,3.07,25.3,18
82,GP12352,Pekin Insurance (SNL P&C Group),1238558.0,385801.0,565863.0,0.03,0.0,0.0,302.0,0.0,0.0,108.43,NM,NM
83,GP4174043,Allianz (SNL P&C Group),15200561.0,3241926.0,7313099.0,0.03,0.03,0.02,294.0,370.0,229.0,232.75,7.77,236.6
84,C749,Constitution Insurance Co.,45102.0,27551.0,1602.0,0.03,0.01,0.0,287.0,94.0,0.0,56.38,61.36,NM
85,GP4050740,American Contractors Insurance (SNL P&C Group),767138.0,216807.0,147062.0,0.03,0.06,0.08,286.0,676.0,783.0,-6.1,27.9,27.52
86,GP4277771,Skyward Spclty Ins Grp (SNL P&C Group),2616788.0,710575.0,1458637.0,0.02,0.03,0.02,255.0,290.0,238.0,348.61,78.77,NM
87,GP14390,WCF Insurance (SNL P&C Group),3166226.0,1339305.0,437126.0,0.02,0.04,0.03,251.0,485.0,299.0,64.35,3.01,96.49
88,GP4282517,Coaction (SNL P&C Group),3315979.0,675139.0,1362292.0,0.02,0.03,0.04,249.0,354.0,403.0,19.52,60.09,25.65
89,C1252,National American Insurance Co,476264.0,118569.0,313020.0,0.02,0.02,0.03,234.0,202.0,275.0,101.13,19.83,409.59
90,GP13091,Merchants Insurance (SNL P&C Group),1170462.0,275199.0,527373.0,0.02,0.02,0.03,223.0,239.0,261.0,-8.29,9.8,1.83
91,GP10360735,IAT Insurance (SNL P&C Group),3247681.0,1020889.0,1971533.0,0.02,0.01,0.0,217.0,101.0,33.0,92.04,NM,436.88
92,GP103386,RLI (SNL P&C Group),4950256.0,1787312.0,1986046.0,0.02,0.02,0.02,207.0,214.0,197.0,251.51,16.82,13.15
93,C1642,Samsung Fire & Marine Ins Co.,190326.0,96878.0,162775.0,0.02,0.01,0.01,182.0,138.0,76.0,15.67,35.15,4.81
94,GP107483532,Wilmington Holdings GP LLC (SNL P&C Group),88504.0,13231.0,28618.0,0.01,0.01,0.04,148.0,122.0,373.0,-36.9,103.15,NM
95,C935,Illinois Casualty Co.,218779.0,68279.0,103149.0,0.01,0.01,0.02,127.0,111.0,255.0,29.05,-84.25,76.01
96,C4564,Prescient National Ins Co.,134349.0,80200.0,35730.0,0.01,0.0,0.01,113.0,-14.0,78.0,39.91,0,0
97,C689,Rural Trust Insurance Co.,60184.0,16539.0,45463.0,0.01,0.01,0.01,104.0,104.0,124.0,245.89,-15.14,7.29
98,GP4140187,American Family Insurance (SNL P&C Group),37516199.0,10126846.0,17618190.0,0.01,0.01,0.01,97.0,100.0,117.0,NM,-64.5,326.87
99,GP4053716,HDI (SNL P&C Group),1663035.0,496559.0,1093073.0,0.0,0.0,0.01,45.0,49.0,62.0,30.32,NM,89.42
100,C4212,Frank Winston Crum Ins Co,277375.0,66102.0,80505.0,0.0,0.0,0.0,32.0,29.0,33.0,16.3,0,0
101,C267,Badger Mutual Insurance Co.,186614.0,47494.0,137300.0,0.0,0.0,0.0,31.0,20.0,23.0,NM,822.64,0
102,GP4290308,Swiss Re (SNL P&C Group),24520480.0,5231997.0,3001729.0,0.0,0.0,0.0,26.0,20.0,0.0,NM,70.96,NM
103,GP4265761,Utica National Insurance Group (SNL P&C Group),4731360.0,1671894.0,1866936.0,0.0,0.0,0.0,25.0,25.0,29.0,NM,NM,2.2
104,GP4144358,Applied Underwriters (SNL P&C Group),3250854.0,1002985.0,1055610.0,0.0,0.02,0.04,18.0,216.0,366.0,NM,197.94,525.69
105,GP13155,Midwest Family (SNL P&C Group),507904.0,140741.0,281025.0,0.0,0.0,0.0,18.0,18.0,1.0,0,0,0
106,GP4108406,Midwest Financial Hldgs LLC (SNL P&C Group),211245.0,113005.0,38089.0,0.0,0.0,0.0,17.0,0.0,0.0,43.64,NM,NM
107,GP4005715,Munich Re (SNL P&C Group),29750161.0,7002777.0,5150143.0,0.0,0.0,0.0,5.0,6.0,0.0,NM,NM,NM
108,GP4053629,Gray & Co. (SNL P&C Group),578906.0,255294.0,188382.0,0.0,0.0,0.0,4.0,1.0,0.0,50.24,31.22,NM
109,GP13555,Penn National Insurance (SNL P&C Group),2500410.0,851531.0,1013876.0,0.0,0.0,0.0,0.0,1.0,2.0,NM,NM,433.55
110,C1475,Petroleum Casualty Co.,30938.0,24080.0,2899.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
111,GP4050502,Accredited Am Ins Hldg Corp. (SNL P&C Group),717181.0,68140.0,1057112.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.81,17.96,NM
112,GP11869,CSAA Insurance Exchange (SNL P&C Group),16151414.0,3720914.0,7601062.0,0.0,0.0,0.0,-11.0,27.0,0.0,NM,44.66,NM
113,GP8250875,MagMutual (SNL P&C Group),3015570.0,1066791.0,619711.0,0.0,0.03,0.04,-43.0,357.0,402.0,NM,-4.55,7.54
"If a company's or a group's most recent period of available data is more current than the period selected for the report, that company's or group’s financials will be included in the report and industry totals as long as the company or group existed as a filing entity in the specified period.",,,,,,,,,,,,,,
"Market share information is presented on an ""as-is"" (pro-forma) basis based upon current filing sector and group composition. This may impact prior year figures resulting from changes in corporate structure or filer type (e.g. Life & Health to Health). For questions or to perform an ""as-was"" (as-reported) analysis that incorporates market share regardless of ownership changes or filer type please contact support.capitaliqpro@spglobal.com. Note that this does not apply to the ""P&C Combined as-was view.""",,,,,,,,,,,,,,
